,filepath,text,duration
0,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00001.wav,"Джарвис, привет",3.700001
1,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00002.wav,"Джарвис, как у тебя дела?",3.900001
2,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00003.wav,"Джарвис, включи песню гречка не мое",5.000001
3,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00004.wav,"Джарвис, включи песнь серебро сломана",7.600001
4,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00005.wav,"Джарвис, включи песню сирена я разбиваюсь",6.100001
5,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00006.wav,"Джарвис, сделай яркость экрана поменьше",4.200001
6,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00007.wav,"Джарвис, скажи погоду на сегодня",3.500001
7,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00008.wav,"Джарвис, какая погода на завтра",4.500001
8,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00009.wav,"Джарвис, подключись по блютузу к наушникам",4.500001
9,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_000010.wav,"Джарвис, включи вайфай",5.800001
10,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00011.wav,"Джарвис, подключись по вайфаю к домашней сети",4.200001
11,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00012.wav,"Джарвис, расскажи доступные сети вайфай",4.100001
12,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00013.wav,"Джарвис, сгенерируй изображение",3.600001
13,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00014.wav,"Джарвис, сгенерируй изображение черный доберман на фоне розового заката",7.800001
14,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00015.wav,"Джарвис, где я нахожусь сейчас?",4.800001
15,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00016.wav,"Джарвис, загугли, что такое энергетики?",5.000001
16,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00017.wav,"Джарвис, загугли, как называется самая высокая гора в мире?",6.000001
17,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00018.wav,"Джарвис, найди в интернете чем кормить добермана",5.100001
18,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00019.wav,"Джарвис, создай заметку заголовок план тренировок текст план тренировок на завтра",10.000001
19,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00020.wav,"Джарвис, переключи песню",2.900001
20,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00021.wav,"Джарвис, останови музыку",4.700001
21,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00022.wav,"Джарвис, запусти музыку",3.900001
22,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00023.wav,"Джарвис, запусти чат",2.900001
23,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00024.wav,"Джарвис, выключи чат",2.900001
24,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00025.wav,"Джарвис, расскажи анекдот",4.000001
25,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00026.wav,"Джарвис, где я сейчас нахожусь?",3.800001
26,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00027.wav,"Джарвис, где я нахожусь?",3.600001
27,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00028.wav,"Джарвис, где я?",3.700001
28,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00029.wav,"Джарвис, сколько ехать до вокзала?",3.900001
29,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00030.wav,"Джарвис, через сколько следующий автобус?",4.600001
30,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00031.wav,"Джарвис, сколько идти до ближайшего магазина?",3.800001
31,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00032.wav,"Джарвис, сколько будет два плюс два?",3.700001
32,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00033.wav,"Джарвис, сколько стоит bugatti?",5.000001
33,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00034.wav,"Джарвис, как называется заприсывающее устройство?",5.100001
34,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00035.wav,"Джарвис, сделай яркость клавиш на пятьдесят процентов",5.200001
35,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00036.wav,"Джарвис, какое сегодня число?",3.400001
36,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00037.wav,"Джарвис, какая сегодня дата?",3.700001
37,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00038.wav,"Джарвис, сколько градусов на улице?",3.800001
38,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00039.wav,"Джарвис, сколько время до полного заряда аккумулятора?",4.800001
39,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00040.wav,"Джарвис, сколько время?",3.000001
