,filepath,text,duration
0,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00001.wav,"Джарвис, привет",3.700001
1,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00002.wav,"Джарвис, как у тебя дела?",3.900001
2,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00003.wav,"Джарвис, включи песню гречка не мое",5.000001
3,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00004.wav,"Джарвис, включи песню серебро сломана",7.600001
4,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00005.wav,"Джарвис, включи песню сирена я разбиваюсь",6.100001
5,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00006.wav,"Джарвис, сделай яркость экрана поменьше",4.200001
6,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00007.wav,"Джарвис, скажи погоду на сегодня",3.500001
7,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00008.wav,"Джарвис, какая погода на завтра",4.500001
8,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00009.wav,"Джарвис, подключись по блютузу к наушникам",4.500001
9,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_000010.wav,"Джарвис, включи вайфай",5.800001
10,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00011.wav,"Джарвис, подключись по вайфаю к домашней сети",4.200001
11,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00012.wav,"Джарвис, расскажи доступные сети вайфай",4.100001
12,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00013.wav,"Джарвис, сгенерируй изображение",3.600001
13,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00014.wav,"Джарвис, сгенерируй изображение черный доберман на фоне розового заката",7.800001
14,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00015.wav,"Джарвис, где я нахожусь сейчас?",4.800001
15,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00016.wav,"Джарвис, загугли, что такое энергетики?",5.000001
16,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00017.wav,"Джарвис, загугли, как называется самая высокая гора в мире?",6.000001
17,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00018.wav,"Джарвис, найди в интернете чем кормить добермана",5.100001
18,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00019.wav,"Джарвис, создай новую заметку заголовок план тренировок текст план тренировок на завтра",10.000001
19,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00020.wav,"Джарвис, переключи песню",2.900001
20,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00021.wav,"Джарвис, останови музыку",4.700001
21,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00022.wav,"Джарвис, запусти музыку",3.900001
22,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00023.wav,"Джарвис, запусти чат",2.900001
23,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00024.wav,"Джарвис, выключи чат",2.900001
24,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00025.wav,"Джарвис, расскажи анекдот",4.000001
25,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00026.wav,"Джарвис, где я сейчас нахожусь?",3.800001
26,jstt_dataset/main/from_phone_outdoors/from_phone_outdoors_0/main_from_phone_outdoors_00027.wav,"Джарвис, где я нахожусь?",3.600001
